"Age","gender","Attitude","Points","stra","deep","surf"
53,"F",37,25,3.375,3.58333333333333,2.58333333333333
55,"M",31,12,2.75,2.91666666666667,3.16666666666667
49,"F",25,24,3.625,3.5,2.25
53,"M",35,10,3.125,3.5,2.25
49,"M",37,22,3.625,3.66666666666667,2.83333333333333
38,"F",38,21,3.625,4.75,2.41666666666667
50,"M",35,21,2.25,3.83333333333333,1.91666666666667
37,"F",29,31,4,3.25,2.83333333333333
37,"M",38,24,4.25,4.33333333333333,2.16666666666667
42,"F",21,26,3.5,4,3
37,"M",39,31,3.625,3.58333333333333,2.66666666666667
34,"F",38,31,4.75,3.83333333333333,2.41666666666667
34,"F",24,23,3.625,4.25,2.25
34,"F",30,25,3.5,3.33333333333333,2.75
35,"M",26,21,1.75,4.16666666666667,2.33333333333333
33,"F",41,31,3.875,3.66666666666667,2.33333333333333
32,"F",26,20,1.375,4.08333333333333,2.91666666666667
44,"F",26,22,3.25,3.5,2.5
29,"M",17,9,3,4.08333333333333,3.75
30,"F",27,24,3.75,4,2.75
27,"M",39,28,2.625,3.91666666666667,2.33333333333333
29,"M",34,30,2.375,4,2.41666666666667
31,"F",27,24,3.625,4,3
37,"F",23,9,2.75,3.66666666666667,2.41666666666667
26,"F",37,26,1.75,3.66666666666667,2.83333333333333
26,"F",44,32,3.25,4.41666666666667,3.16666666666667
30,"M",41,32,4,3.91666666666667,3
33,"F",37,33,3.625,3.75,2
33,"F",25,29,2.875,3.25,3.5
28,"M",30,30,3,3.58333333333333,3.75
26,"M",34,19,1.625,4.91666666666667,2.5
27,"F",32,23,3.25,3.58333333333333,2.08333333333333
25,"F",20,19,3.5,2.91666666666667,2.41666666666667
31,"F",24,12,3,3.66666666666667,2.58333333333333
20,"M",42,10,3.25,4.5,1.58333333333333
39,"F",16,11,1.875,4.08333333333333,2.83333333333333
38,"M",31,20,4.375,3.83333333333333,1.83333333333333
24,"M",38,26,3.625,3.25,2.41666666666667
26,"M",38,31,2.5,2.33333333333333,3.25
25,"M",33,20,1.25,3.33333333333333,3.41666666666667
30,"F",17,23,4,4.08333333333333,3.41666666666667
25,"F",25,12,3,2.91666666666667,3.16666666666667
30,"M",32,24,2.5,3.33333333333333,3.5
48,"F",35,17,4.875,3.83333333333333,2.66666666666667
24,"F",32,29,5,3.66666666666667,2.41666666666667
40,"F",42,23,4.375,4.66666666666667,3.58333333333333
25,"M",31,28,3.25,3.75,2.08333333333333
23,"F",39,31,4,3.41666666666667,3.75
25,"F",19,23,3.125,4.16666666666667,2.91666666666667
23,"F",21,25,2.5,2.91666666666667,2.91666666666667
27,"M",25,18,3.125,4.16666666666667,2.41666666666667
25,"M",32,19,3.25,3.58333333333333,3
23,"M",32,22,2.125,2.83333333333333,3.41666666666667
23,"F",26,25,2.75,4,2.91666666666667
23,"F",23,21,2.375,2.91666666666667,3.25
45,"F",38,9,3.125,3,3.25
22,"F",28,28,4,4.08333333333333,2.33333333333333
23,"F",33,25,4,2.91666666666667,3.25
21,"M",48,29,2.25,3.5,2.5
21,"M",40,33,3.25,4.33333333333333,1.75
21,"F",40,33,3.625,4.25,2.25
21,"F",47,25,3.625,3.41666666666667,2.08333333333333
26,"F",23,18,2.5,3.08333333333333,2.83333333333333
25,"F",31,22,1.875,4.58333333333333,2.83333333333333
26,"F",27,17,2,3.41666666666667,2.41666666666667
21,"M",41,25,1.875,3.41666666666667,2.25
23,"F",34,28,4,3.41666666666667,2.83333333333333
22,"F",25,22,2.875,3.58333333333333,2.25
22,"F",21,26,3.875,1.58333333333333,1.83333333333333
22,"F",14,11,2.5,3.33333333333333,2.91666666666667
23,"F",19,29,2.75,4.33333333333333,2.91666666666667
22,"M",37,22,4.5,4.41666666666667,2.08333333333333
23,"M",32,21,3.375,4.83333333333333,2.33333333333333
24,"M",28,28,2.625,3.08333333333333,2.41666666666667
22,"F",41,33,4.125,3,2.75
23,"F",25,16,2.625,4.08333333333333,3.25
22,"M",28,31,2.25,4.08333333333333,1.75
20,"M",38,22,2.75,3.75,2.58333333333333
22,"M",31,31,3,3.08333333333333,3.33333333333333
21,"M",35,23,1.625,4.75,2.83333333333333
22,"F",36,26,1.875,4.25,2.5
23,"F",26,12,3.375,4.16666666666667,2.41666666666667
21,"M",44,26,3.75,4.41666666666667,2.41666666666667
22,"M",45,31,2.125,3.83333333333333,2.58333333333333
29,"M",32,19,2.375,3.33333333333333,3
29,"F",39,30,2.75,3.16666666666667,2
21,"F",25,12,3.125,3.16666666666667,3.41666666666667
28,"M",33,17,3.5,3.83333333333333,2.83333333333333
21,"F",33,18,2.625,4.25,2.25
30,"F",30,19,3.375,3.83333333333333,2.75
21,"F",29,21,2.25,3.66666666666667,3.91666666666667
23,"M",33,24,3,3.83333333333333,2.33333333333333
21,"F",33,28,4,3.83333333333333,2.75
21,"F",35,17,3.5,3.83333333333333,2.75
20,"F",36,18,2.625,3.66666666666667,2.91666666666667
22,"M",37,17,2.5,4.33333333333333,2.08333333333333
21,"M",42,23,3.75,3.75,3.66666666666667
21,"M",32,26,3.625,4.16666666666667,2.83333333333333
20,"F",50,28,4.125,4,3.41666666666667
22,"M",47,31,4.375,4,1.58333333333333
20,"F",36,27,2.625,4.58333333333333,2.91666666666667
20,"F",36,25,4,3.66666666666667,3
24,"M",29,23,2.75,3.66666666666667,2.91666666666667
20,"F",35,21,2.75,3.83333333333333,2.66666666666667
19,"F",40,27,1.375,2.58333333333333,3
21,"F",35,28,2.25,3.5,2.75
21,"F",32,23,3.625,3.08333333333333,3.08333333333333
22,"F",26,21,3.75,4.25,2.5
